dist_cbd,Emp10_19,Pop0_16,Pop0_20,AreaC,CUS,Densidad90,Densidad00,Densidad16,Densidad20,CambioPP20,PropPC,ConpP,PorPav,CambioPP90
30,3227,10836,36986,0.065847901,0.10547181,135.1799504,159.7102685,539.7722786,1410.335371,12112,3.433255665,140.2665135,12.72192762,0.346465325
31,4371,38903,56987,0.101263508,1.432666675,211.6181868,239.8226179,1413.364823,1694.899416,17460,2.996584188,76.61420309,16.79565422,1.28093857
32,2455,12011,17959,0.118246198,0.177415915,560.2641175,784.3040636,992.0830459,973.0297953,5026,2.462968861,86.70027346,15.9884422,0.410519038
33,3922,6002,7469,0.104315879,0.143754865,600.552857,987.7125144,934.6638118,812.1884188,2649,3.058804425,100.7869381,17.62611828,0.298239755
34,3015,10154,18480,0.110654806,0.154153609,542.2109573,824.1372587,1004.874244,1108.208228,5806,3.0052663,100.6184928,18.15063901,0.381557738
35,404,7406,13387,0.078077762,0.151256671,356.931337,496.4629524,752.1514112,934.4172727,4027,3.939732114,121.9254491,17.25091699,0.231146568
36,749,5650,15678,0.053669691,0.083325197,169.5505677,294.8638509,478.7491484,977.3819543,5241,5.430982474,168.8429413,15.9340015,0.175601135
37,575,2507,5406,0.048300403,0.087597839,134.0293258,215.9976739,413.4417014,629.9932155,1791,7.972765376,294.5583005,22.3062715,0.089664499
38,186,698,25,0.054246061,0.029215356,173.1198862,217.339156,221.6743785,132.6578093,-140,6.007724619,383.2793531,18.07169111,0.007704618
39,-27,235,-366,0.032091164,0.064867498,8.542836222,225.7749573,181.2301684,122.65072,374,8.742883125,357.9579342,15.19493088,0.057088029
40,-22,469,950,0.073772249,0.082505676,549.8700626,224.8513249,288.5942239,322.2168519,-325,3.381217258,239.9616167,13.09398809,-0.04163919
