Id,MU2020,MU2015,MU2010,MU2005,MU2000,MU1995,MU1990
2668,1,0,0,0,0,0,0
2669,1,0,0,0,0,0,0
2670,1,1,1,1,0,0,0
2671,1,1,1,1,1,1,1
2672,1,1,1,1,1,1,1
2673,1,1,1,1,1,1,1
2674,1,1,1,0,0,0,0
2675,1,1,1,1,0,0,0
2676,1,1,1,1,0,0,0
2688,1,1,1,1,0,0,0
2689,1,1,1,1,0,0,0
2834,1,0,0,0,0,0,0
2835,1,0,0,0,0,0,0
2836,1,0,0,0,0,0,0
2837,1,0,0,0,0,0,0
2838,1,0,0,0,0,0,0
2839,1,0,0,0,0,0,0
2840,1,0,0,0,0,0,0
2844,1,1,1,1,1,1,1
2845,1,1,1,1,1,1,1
2846,1,1,1,1,1,1,1
2847,1,1,1,1,1,1,1
2848,1,1,1,1,0,0,0
2849,1,1,1,1,0,0,0
2857,1,1,1,1,1,1,1
2858,1,1,1,1,1,1,1
2860,1,1,1,1,0,0,0
2861,1,1,1,1,0,0,0
2862,1,1,1,1,0,0,0
3007,1,0,0,0,0,0,0
3011,1,0,0,0,0,0,0
3012,1,0,0,0,0,0,0
3013,1,0,0,0,0,0,0
3017,1,1,1,1,1,1,1
3018,1,1,1,1,1,1,1
3019,1,1,1,1,1,1,1
3020,1,1,1,0,0,0,0
3029,1,1,0,0,0,0,0
3030,1,1,1,1,1,1,1
3031,1,1,1,1,1,1,1
3033,1,1,1,1,1,0,0
3034,1,1,1,1,0,0,0
3181,1,0,0,0,0,0,0
3182,1,1,0,0,0,0,0
3183,1,1,0,0,0,0,0
3190,1,1,1,1,1,1,1
3191,1,1,1,1,1,1,1
3192,1,1,1,1,1,1,1
3193,1,1,1,0,0,0,0
3194,1,0,0,0,0,0,0
3195,1,0,0,0,0,0,0
3200,1,1,1,1,1,0,0
3201,1,1,1,1,0,0,0
3202,1,1,0,0,0,0,0
3203,1,1,0,0,0,0,0
3206,1,1,1,1,1,1,1
3352,1,0,0,0,0,0,0
3353,1,1,0,0,0,0,0
3354,1,0,0,0,0,0,0
3355,1,1,0,0,0,0,0
3356,1,1,0,0,0,0,0
3357,1,1,0,0,0,0,0
3364,1,1,1,1,0,0,0
3366,1,1,0,0,0,0,0
3367,1,1,0,0,0,0,0
3368,1,1,0,0,0,0,0
3371,1,1,0,0,0,0,0
3372,1,1,1,1,1,1,1
3373,1,1,1,1,1,1,1
3374,1,1,1,1,1,0,0
3375,1,1,0,0,0,0,0
3378,1,1,1,1,1,0,0
3379,1,1,0,0,0,0,0
3525,1,1,0,0,0,0,0
3526,1,1,0,0,0,0,0
3527,1,1,0,0,0,0,0
3528,1,1,0,0,0,0,0
3529,1,1,0,0,0,0,0
3530,1,1,0,0,0,0,0
3539,1,1,0,0,0,0,0
3540,1,1,0,0,0,0,0
3541,1,1,0,0,0,0,0
3542,1,1,1,1,1,0,0
3543,1,0,0,0,0,0,0
3544,1,1,1,1,1,0,0
3545,1,1,1,1,1,1,1
3546,1,1,1,1,1,1,1
3547,1,0,1,1,1,1,1
3548,1,0,0,0,0,0,0
3551,1,1,1,1,1,0,0
3552,1,1,0,0,0,0,0
3704,1,0,0,0,0,0,0
3705,1,0,0,0,0,0,0
3706,1,0,0,0,0,0,0
3713,1,1,0,0,0,0,0
3714,1,1,1,1,1,1,1
3715,1,1,1,1,1,1,1
3716,1,1,1,1,1,0,0
3717,1,1,1,1,1,1,1
3718,1,1,1,1,1,0,0
3719,1,1,1,1,1,1,1
3720,1,1,1,1,1,1,1
3721,1,1,0,0,0,0,0
3722,1,0,0,0,0,0,0
3723,1,1,1,0,0,0,0
3724,1,1,1,0,0,0,0
3725,1,1,1,1,1,0,0
3726,1,1,0,0,0,0,0
3886,1,0,0,0,0,0,0
3887,1,1,1,1,1,1,1
3888,1,1,1,1,1,1,0
3889,1,1,1,1,1,1,0
3890,1,1,1,1,1,1,1
3891,1,1,1,1,1,0,0
3892,1,1,1,1,1,0,0
3893,1,1,1,1,1,1,1
3894,1,1,0,0,0,0,0
3895,1,1,0,0,0,0,0
3896,1,1,1,1,0,0,0
3897,1,1,1,1,0,0,0
3898,1,1,1,1,1,0,0
3899,1,1,1,1,0,0,0
3900,1,0,1,1,0,0,0
4050,1,0,0,0,0,0,0
4051,1,0,0,0,0,0,0
4060,1,1,1,0,0,0,0
4061,1,1,1,1,1,1,0
4062,1,1,1,1,1,1,1
4063,1,1,1,1,1,1,1
4064,1,1,1,1,1,1,1
4065,1,1,1,1,1,0,0
4066,1,1,1,1,1,1,1
4067,1,1,1,1,1,1,1
4068,1,1,1,1,1,1,1
4069,1,1,1,1,0,0,0
4070,1,1,1,1,0,0,0
4071,1,1,1,1,1,0,0
4072,1,1,1,1,1,1,0
4073,1,1,1,1,1,1,0
4074,1,1,1,0,1,1,0
4075,1,0,0,0,0,0,0
4223,1,0,0,0,0,0,0
4224,1,0,0,0,0,0,0
4234,1,0,0,0,0,0,0
4235,1,1,1,1,1,0,0
4236,1,1,1,1,1,1,1
4237,1,1,1,1,1,1,1
4238,1,1,1,0,0,0,0
4239,1,1,1,1,0,0,0
4240,1,1,1,1,0,0,0
4241,1,1,1,1,0,0,0
4242,1,1,1,1,1,0,0
4243,1,1,1,1,1,0,0
4244,1,1,1,1,1,1,1
4245,1,1,1,1,1,1,1
4246,1,1,1,1,1,1,0
4247,1,1,1,1,0,1,0
4248,1,0,0,0,0,0,0
4409,1,1,1,0,0,0,0
4410,1,1,1,0,0,0,0
4411,1,1,1,0,0,0,0
4412,1,1,1,0,0,0,0
4413,1,1,1,1,0,0,0
4414,1,1,1,1,0,0,0
4415,1,1,1,1,1,0,0
4416,1,1,1,1,1,0,0
4417,1,1,1,1,1,1,1
4418,1,1,1,1,1,1,1
4419,1,1,1,1,0,0,0
4420,1,1,0,0,0,0,0
4562,1,1,0,0,0,0,0
4563,1,1,0,0,0,0,0
4564,1,1,0,0,0,0,0
4565,1,1,0,0,0,0,0
4566,1,1,0,0,0,0,0
4567,1,1,0,0,0,0,0
4568,1,1,0,0,0,0,0
4569,1,1,0,0,0,0,0
4570,1,1,0,0,0,0,0
4582,1,1,1,0,0,0,0
4583,1,1,1,0,0,0,0
4584,1,1,1,0,0,0,0
4585,1,1,0,0,0,0,0
4586,1,1,0,0,0,0,0
4587,1,1,0,0,0,0,0
4588,1,1,1,0,0,0,0
4589,1,1,1,1,0,0,0
4590,1,1,1,1,1,1,1
4591,1,1,1,1,1,1,1
4592,1,1,1,1,1,0,0
4593,1,1,1,1,1,0,0
4594,1,1,1,1,1,0,0
4735,1,1,0,0,0,0,0
4736,1,1,0,0,0,0,0
4737,1,1,0,0,0,0,0
4738,1,1,0,0,0,0,0
4739,1,1,0,0,0,0,0
4740,1,1,0,0,0,0,0
4741,1,1,0,0,0,0,0
4742,1,1,0,0,0,0,0
4743,1,1,0,0,0,0,0
4744,1,1,0,0,0,0,0
4745,1,0,0,0,0,0,0
4756,1,1,0,0,0,0,0
4757,1,1,0,0,0,0,0
4758,1,1,0,0,0,0,0
4759,1,1,0,0,0,0,0
4760,1,1,0,0,0,0,0
4761,1,1,1,0,0,0,0
4762,1,1,1,1,0,0,0
4763,1,1,1,1,0,0,0
4764,1,1,1,1,1,1,0
4765,1,1,1,1,1,1,1
4766,1,1,1,1,1,1,1
4767,1,1,1,1,1,1,1
4768,1,1,1,1,0,0,0
4908,1,1,0,0,0,0,0
4909,1,1,0,0,0,0,0
4910,1,1,0,0,0,0,0
4911,1,1,0,0,0,0,0
4912,1,1,0,0,0,0,0
4913,1,1,0,0,0,0,0
4914,1,1,0,0,0,0,0
4915,1,1,0,0,0,0,0
4916,1,1,0,0,0,0,0
4917,1,1,0,0,0,0,0
4918,1,1,0,0,0,0,0
4919,1,1,0,0,0,0,0
4931,1,1,0,0,0,0,0
4932,1,1,0,0,0,0,0
4933,1,1,1,1,0,0,0
4934,1,1,1,1,0,0,0
4935,1,1,1,1,0,0,0
4936,1,1,1,1,0,0,0
4937,1,1,1,1,1,1,0
4938,1,1,1,1,1,1,1
4939,1,1,1,1,1,1,1
4940,1,1,1,1,1,1,1
4941,1,1,1,1,0,0,0
4942,1,1,1,1,0,0,0
5086,1,1,0,0,0,0,0
5087,1,1,0,0,0,0,0
5088,1,1,0,0,0,0,0
5089,1,1,0,0,0,0,0
5090,1,1,0,0,0,0,0
5091,1,1,0,0,0,0,0
5092,1,1,0,0,0,0,0
5094,1,0,0,0,0,0,0
5095,1,0,0,0,0,0,0
5096,1,0,0,0,0,0,0
5097,1,0,0,0,0,0,0
5098,1,0,0,0,0,0,0
5105,1,1,0,0,0,0,0
5106,1,1,1,1,1,1,1
5107,1,1,1,1,0,0,0
5108,1,1,1,1,0,0,0
5109,1,1,1,1,0,0,0
5110,1,1,1,1,0,0,0
5111,1,1,1,1,0,0,0
5112,1,1,1,1,1,1,1
5113,1,1,1,1,1,1,1
5114,1,1,1,1,1,1,0
5115,1,1,1,1,1,0,0
5257,1,0,0,0,0,0,0
5258,1,0,0,0,0,0,0
5259,1,1,0,0,0,0,0
5260,1,1,0,0,0,0,0
5261,1,1,0,0,0,0,0
5262,1,1,0,0,0,0,0
5263,1,1,0,0,0,0,0
5264,1,1,0,0,0,0,0
5265,1,1,0,0,0,0,0
5267,1,0,0,0,0,0,0
5268,1,0,0,0,0,0,0
5269,1,0,0,0,0,0,0
5270,1,0,0,0,0,0,0
5271,1,0,0,0,0,0,0
5279,1,1,1,1,1,1,1
5280,1,1,1,1,1,1,1
5281,1,1,1,1,1,1,1
5282,1,1,1,1,0,0,0
5283,1,1,1,1,1,0,0
5284,1,1,1,1,1,0,0
5285,1,1,1,1,1,1,1
5286,1,1,1,1,1,1,1
5287,1,1,1,1,1,1,1
5288,1,1,1,1,1,1,0
5300,1,1,1,1,1,0,0
5301,1,1,1,1,1,0,0
5430,1,0,0,0,0,0,0
5431,1,0,0,0,0,0,0
5432,1,1,0,0,0,0,0
5433,1,1,0,0,0,0,0
5434,1,1,0,0,0,0,0
5435,1,1,1,1,0,0,0
5436,1,1,1,1,0,0,0
5437,1,0,0,0,0,0,0
5439,1,0,0,0,0,0,0
5440,1,0,0,0,0,0,0
5441,1,0,0,0,0,0,0
5442,1,0,0,0,0,0,0
5443,1,0,0,0,0,0,0
5444,1,0,0,0,0,0,0
5452,1,1,1,1,1,1,1
5453,1,1,1,1,1,1,1
5454,1,1,1,1,1,1,1
5455,1,1,1,1,0,0,0
5456,1,1,1,1,1,0,0
5457,1,1,1,1,1,0,0
5458,1,1,1,1,1,1,1
5459,1,1,1,1,1,1,1
5460,1,1,1,1,1,1,1
5461,1,1,1,1,1,1,1
5473,1,1,1,1,1,0,0
5474,1,1,1,1,1,0,0
5605,1,1,0,0,0,0,0
5606,1,1,0,0,0,0,0
5607,1,1,0,0,0,0,0
5608,1,1,1,0,0,0,0
5609,1,1,1,0,0,0,0
5610,1,0,0,0,0,0,0
5612,1,0,0,0,0,0,0
5613,1,0,0,0,0,0,0
5614,1,0,0,0,0,0,0
5615,1,0,0,0,0,0,0
5616,1,0,0,0,0,0,0
5617,1,0,0,0,0,0,0
5624,1,0,0,0,0,0,0
5625,1,0,0,0,0,0,0
5626,1,1,1,1,0,0,0
5627,1,1,1,1,0,0,0
5628,1,1,1,1,0,0,0
5629,1,1,1,1,1,0,0
5630,1,1,1,1,1,1,1
5631,1,1,1,1,1,1,1
5632,1,1,1,1,1,1,1
5633,1,1,1,1,1,1,1
5634,1,1,1,1,1,1,1
5635,1,1,1,1,0,1,0
5647,1,1,1,1,1,0,0
5780,1,1,0,0,0,0,0
5781,1,1,0,0,0,0,0
5782,1,1,0,0,0,0,0
5783,1,1,0,0,0,0,0
5784,1,1,0,0,0,0,0
5785,1,0,0,0,0,0,0
5786,1,0,0,0,0,0,0
5787,1,0,0,0,0,0,0
5788,1,0,0,0,0,0,0
5789,1,0,0,0,0,0,0
5790,1,0,0,0,0,0,0
5798,1,0,0,0,0,0,0
5799,1,0,0,0,0,0,0
5800,1,1,1,1,1,1,0
5801,1,1,1,1,1,1,0
5802,1,1,1,1,1,1,0
5803,1,1,1,1,1,1,1
5804,1,1,1,1,1,1,1
5805,1,1,1,1,1,1,1
5806,1,1,1,1,1,1,1
5807,1,1,1,1,1,1,1
5808,1,1,1,1,1,1,1
5820,1,1,1,1,1,0,0
5951,1,1,0,0,0,0,0
5952,1,1,0,0,0,0,0
5953,1,1,0,0,0,0,0
5954,1,1,1,0,0,0,0
5955,1,1,1,0,0,0,0
5956,1,1,1,0,1,0,0
5957,1,1,1,0,0,0,0
5958,1,1,0,0,0,0,0
5959,1,1,0,0,0,0,0
5960,1,1,0,0,0,0,0
5961,1,0,0,0,0,0,0
5962,1,0,0,0,0,0,0
5963,1,0,0,0,0,0,0
5971,1,0,0,0,0,0,0
5972,1,1,1,1,1,0,0
5973,1,1,1,1,1,1,1
5974,1,1,1,1,1,1,1
5975,1,1,1,1,1,1,1
5976,1,1,1,1,1,1,1
5977,1,1,1,1,1,1,1
5978,1,1,1,1,1,1,1
5979,1,1,1,1,1,1,1
5980,1,1,1,1,1,1,1
5981,1,1,1,1,1,1,1
5982,1,1,1,1,1,1,1
5983,1,1,1,1,0,0,0
5987,1,1,1,1,1,0,0
5992,1,1,1,1,1,0,0
5993,1,1,1,1,1,0,0
6124,1,1,0,0,0,0,0
6125,1,1,0,0,0,0,0
6126,1,1,1,0,0,0,0
6127,1,1,1,0,0,0,0
6128,1,1,1,0,0,0,0
6129,1,1,1,1,1,1,1
6130,1,1,1,1,1,0,0
6131,1,1,0,0,0,0,0
6132,1,1,0,0,0,0,0
6133,1,1,0,0,0,0,0
6134,1,1,0,0,0,0,0
6135,1,0,0,0,0,0,0
6136,1,0,0,0,0,0,0
6144,1,1,1,1,0,0,0
6145,1,1,1,1,1,0,0
6146,1,1,1,1,1,1,1
6147,1,1,1,1,1,1,1
6148,1,1,1,1,1,1,1
6149,1,1,1,1,1,1,1
6150,1,1,1,1,1,1,1
6151,1,1,1,1,1,1,1
6152,1,1,1,1,1,1,1
6153,1,1,1,1,1,1,1
6154,1,1,1,1,1,1,1
6155,1,1,1,1,1,1,1
6156,1,1,1,1,1,1,1
6160,1,1,1,1,1,0,0
6161,1,1,1,1,1,0,0
6162,1,1,1,1,1,0,0
6163,1,1,1,1,1,1,0
6164,1,1,1,1,1,1,0
6297,1,1,0,0,0,0,0
6298,1,1,0,0,0,0,0
6299,1,1,0,0,0,0,0
6300,1,1,0,0,0,0,0
6301,1,1,0,0,0,0,0
6302,1,1,1,1,1,1,1
6303,1,1,1,1,1,0,0
6304,1,1,0,0,0,0,0
6305,1,1,0,0,0,0,0
6306,1,1,0,0,0,0,0
6307,1,1,0,0,0,0,0
6308,1,0,0,0,0,0,0
6317,1,1,1,1,0,0,0
6318,1,1,1,1,1,0,0
6319,1,1,1,1,1,1,1
6320,1,1,1,1,1,1,1
6321,1,1,1,1,1,1,1
6322,1,1,1,1,1,1,1
6323,1,1,1,1,1,1,1
6324,1,1,1,1,1,1,1
6325,1,1,1,1,1,1,1
6326,1,1,1,1,1,1,1
6327,1,1,1,1,1,1,1
6328,1,1,1,1,1,1,1
6329,1,1,1,1,1,1,1
6330,1,1,1,1,1,0,1
6335,1,1,1,1,1,1,0
6336,1,1,1,1,1,1,0
